"Name","Count","Bytes","TextLines"
"agent-steering","3","29007","400"
"benchmarks","11","21195","552"
"ci-governance","10","19072","447"
"docs","74","1727907","14306"
"lab-artifact","1","139047","3638"
"legacy-preserved","7","150460","1321"
"mcp-tool-schemas","699","3471599","74959"
"native-sidecar","9","69963","1388"
"root/config","32","494548","7183"
"scripts","9","31437","765"
"source","116","1661782","36828"
"tests","100","549105","13113"
